time,area0,area1,num0,num1
13,1256,0,12,12
14,1251847,39452125,12,12
15,6886883,11006166,12,12
16,20143083,11006166,12,12
17,20420516,6799185,12,12
18,15936682,1802958,12,12
19,11664688,978202,12,12
20,26658374,164920,12,12
21,9679998,20494,12,12
22,47662,22528,12,12
23,10602,139504,12,12
24,10455,959622,12,12
25,10613,5333892,12,12
26,10557,18983897,12,12
27,10564,8921008,12,12
28,10313,20046183,12,12
29,11104,13211406,12,12
30,10594,13282383,12,12
31,10564,13157295,12,12
32,21181,10510837,12,12
33,131496,6868780,12,12
34,935079,6380466,12,12
35,4958705,5767177,12,12
36,5872192,4191150,12,12
37,12549417,1913287,12,12
38,8673152,1042007,12,12
39,12658941,205672,12,12
40,13632690,29328,12,12
41,11093279,11769,12,12
42,272762,23517,12,12
43,10599,272308,12,12
44,10590,403329,12,12
45,10605,2772835,12,12
46,10530,12080784,12,12
47,10031,23911976,12,12
48,12400,10708421,12,12
49,10077,33690010,12,12
50,10429,36839221,12,12
51,9792,32519615,12,12
52,20337,15979911,12,12
53,184859,22685339,12,12
54,1467080,21714043,12,12
55,2248850,19187534,12,12
56,9343445,11535353,12,12
57,5328910,2588814,12,12
58,25598410,1718485,12,12
59,27071488,329306,12,12
0,25844180,237603,12,12
1,19440482,26403,12,12
2,78574,24999,12,12
3,10576,159274,12,12
4,10590,859136,12,12
5,10568,4885220,12,12
6,10549,18435602,12,12
7,10515,12120375,12,12
8,13091,13504058,12,12
9,9859,28114173,12,12
10,9855,29380674,12,12
11,7688,22626496,12,12
12,19573,29042986,12,12
13,130234,25909516,12,12
14,869221,11660700,12,12
15,4582864,8177470,12,12
16,16191113,4611377,12,12
17,20788846,5146903,12,12
18,11464114,856544,12,12
19,18512128,561700,12,12
20,11726530,96720,12,12
21,10306361,17934,12,12
22,70939,23736,12,12
23,10590,282215,12,12
24,10669,354519,12,12
25,10489,2549623,12,12
26,10605,11249822,12,12
27,10527,24591845,12,12
28,10373,6485824,12,12
29,10048,10953689,12,12
30,7973,10514632,12,12
31,2913,6252232,12,12
32,13225,7172835,12,12
33,84336,5842765,12,12
34,598837,5644428,12,12
35,2989638,4863731,12,12
36,3843435,3234712,12,12
37,3870565,4266530,12,12
38,6304154,2154465,12,12
39,6343009,389890,12,12
40,10039073,60344,12,12
41,6041152,12612,12,12
42,32989,26289,12,12
43,10575,273678,12,12
44,10669,325608,12,12
45,10620,2370951,12,12
46,10425,10679054,12,12
47,10489,21335236,12,12
48,10407,4575159,12,12
49,10294,11538906,12,12
50,10283,12311572,12,12
51,10418,12505350,12,12
52,24609,11157240,12,12
53,194514,11714560,12,12
54,1557635,9008887,12,12
55,2343781,6874076,12,12
56,9878377,5373487,12,12
57,16337955,3807097,12,12
58,7597405,2117434,12,12
59,23196051,497735,12,12
0,12319395,62404,12,12
1,9753873,11303,12,12
2,110689,26165,12,12
3,10605,286276,12,12
4,10549,373122,12,12
5,10508,2521610,12,12
6,10639,11212937,12,12
7,10335,24695599,12,12
8,9983,18933885,12,12
9,10279,16516640,12,12
10,9735,13379669,12,12
11,9679,12799938,12,12
12,19659,7259856,12,12
13,128654,8859978,12,12
14,969581,8475157,12,12
15,4563002,7571677,12,12
16,4802740,4445141,12,12
17,26928219,4546704,12,12
18,29382331,1792533,12,12
19,14973608,435422,12,12
20,15237701,64160,12,12
21,9693693,12008,12,12
22,181007,26278,12,12
23,10521,290337,12,12
24,10612,328306,12,12
25,10500,2388543,12,12
26,10704,10853075,12,12
27,10384,19490167,12,12
28,10000,10706640,12,12
29,12096,18684216,12,12
30,9597,18904077,12,12
31,9120,12953528,12,12
32,18534,7799140,12,12
33,119781,9947697,12,12
34,860592,10037688,12,12
35,4070206,7857281,12,12
36,2927886,4493440,12,12
37,17859350,2665828,12,12
38,31164201,2434228,12,12
39,38056591,415155,12,12
40,33616110,85212,12,12
41,13256436,14183,12,12
42,226485,25764,12,12
43,10557,265705,12,12
44,10602,380403,12,12
45,10639,2704568,12,12
46,10587,11869463,12,12
47,11238,28149519,12,12
48,13474,25140866,12,12
49,6232,19011781,12,12
50,10020,26785485,12,12
51,9915,26347162,12,12
52,22509,15299239,12,12
53,220374,31815024,12,12
54,1729010,27594980,12,12
55,2833171,33538682,12,12
56,11220548,24439493,12,12
57,5360958,8924103,12,12
58,19732391,2878533,12,12
59,27115504,489133,12,12
0,11103506,69791,12,12
1,8172262,13009,12,12
2,51274,24912,12,12
3,10542,267722,12,12
4,10602,383840,12,12
5,10523,2615589,12,12
6,10654,11570597,12,12
7,10553,26265000,12,12
8,10598,30366301,12,12
9,10336,20670020,12,12
10,10564,19443654,12,12
11,10500,18416825,12,12
12,21147,11119128,12,12
13,139552,10901676,12,12
14,888556,11143201,12,12
15,4987565,9871290,12,12
16,17593078,4951127,12,12
17,28703140,4738442,12,12
18,21700205,2024669,12,12
19,29013600,447390,12,12
20,31928595,71164,12,12
21,30468513,12580,12,12
22,288452,26279,12,12
23,10718,286208,12,12
24,10560,339942,12,12
25,10553,2379029,12,12
26,10665,10881998,12,12
27,10283,21476419,12,12
28,10669,10867075,12,12
29,10553,23996284,12,12
30,10290,24587459,12,12
31,9863,27826264,12,12
32,20352,27270074,12,12
33,140179,25745086,12,12
34,952193,14190007,12,12
35,4702487,10993811,12,12
36,5100265,5534372,12,12
37,6191670,2159749,12,12
38,4869769,598278,12,12
39,10626939,109526,12,12
40,8887758,29733,12,12
41,8422230,11712,12,12
42,229403,25940,12,12
43,10602,262337,12,12
44,10564,385224,12,12
45,10632,2735104,12,12
46,10553,11889278,12,12
47,9808,23558345,12,12
48,8543,7925776,12,12
49,6251,22967541,12,12
50,9533,16831472,12,12
51,9724,23309461,12,12
52,20075,15211628,12,12
53,124907,17150072,12,12
54,822880,14906348,12,12
55,4470954,12567585,12,12
56,12774665,5614135,12,12
57,9475410,11234502,12,12
58,35138467,4373270,12,12
59,38130902,828820,12,12
0,41038462,120500,12,12
1,18297440,16653,12,12
2,504597,23094,12,12
3,10688,285173,12,12
4,10504,330365,12,12
5,10617,2268023,12,12
6,10519,10405860,12,12
7,10575,9014935,12,12
8,10284,19832429,12,12
9,10283,23104060,12,12
10,10257,16698636,12,12
11,9972,16763625,12,12
12,7347,7544883,12,12
13,186112,11469370,12,12
14,1485446,11773256,12,12
15,2630584,8747552,12,12
16,10847286,3934027,12,12
17,22833287,794313,12,12
18,30881933,1730924,12,12
19,37617754,945078,12,12
20,30011866,164639,12,12
21,15631225,19624,12,12
22,197671,22430,12,12
23,10737,160519,12,12
24,10568,871462,12,12
25,10504,4500498,12,12
26,10515,16319608,12,12
27,10673,7950003,12,12
28,10710,24657780,12,12
29,9522,24855215,12,12
30,9735,17230178,12,12
31,9679,15720480,12,12
32,19385,12896915,12,12
33,128404,12915171,12,12
34,882648,13739212,12,12
35,4376879,11407502,12,12
36,4244479,8406682,12,12
37,20877953,3575765,12,12
38,30150152,4408045,12,12
39,33607212,839664,12,12
40,34220398,61019,12,12
41,31884351,18732,12,12
42,1309709,22378,12,12
43,10763,160359,12,12
44,10526,871259,12,12
45,10524,4797971,12,12
46,10698,15901203,12,12
47,10307,15605339,12,12
48,10255,3679320,12,12
49,10200,27897280,12,12
50,9574,23811931,12,12
51,9777,23002058,12,12
52,19096,10670440,12,12
53,121244,7577143,12,12
54,863120,10099874,12,12
55,4385298,9002340,12,12
56,15493291,4110073,12,12
57,24505429,1781152,12,12
58,27888317,1331900,12,12
59,19293824,859572,12,12
0,20933167,119761,12,12
1,12543799,21797,12,12
2,414990,23902,12,12
3,10508,273611,12,12
4,10595,396281,12,12
5,10669,2737688,12,12
6,10493,11527005,12,12
7,10324,22621636,12,12
8,10114,8590174,12,12
9,10564,27751136,12,12
10,10572,17547939,12,12
11,10114,12884029,12,12
12,6138,6737076,12,12
13,37961,5922767,12,12
14,265916,5727060,12,12
15,1437828,5061723,12,12
16,4907947,14520428,12,12
17,3902454,7012375,12,12
18,2304607,1409167,12,12
19,0,212217,12,12
20,0,199437,12,12
21,618,27179,12,12
22,10605,22610,12,12
23,10564,167937,12,12
24,10572,832795,12,12
25,10545,4662876,12,12
26,10624,17474003,12,12
